Hello, let's chat!|Okay.|0
Sure.|That doesn't make sense.|0
Sure.|You're not making sense.|0
Sure.|I don't get it.|0
Sure.|Why are you repeating the same message?|2
That's cool.|Okay, that was just an unlucky streak then.|0
Wow!|It's not that interesting.|0
That's cool.|Bye|0
Sure.|bye|0
Okay.|Wow.|0
Okay.|bye|0
Hello, let's chat!|Okay.|0
Okay.|Okay.|0
Okay.|Okay.|0
Why are you repeating the same message?|I'm not.|0
That doesn't make sense.|I'm sure it doesn't.|0
Okay, that was just an unlucky streak then.|I'm sure it was.|0
Okay, that was just an unlucky streak then.|Stop repeating that.|0
Wow.|What?|2
I don't get it.|Neither do I.|0
What?|I said neither do I.|0
bye|Haha you' can't say that.|0
It's not that interesting.|You're right.|0
Bye|Stop that!|0
Okay.|Thank you.|0
You're right.|I always am.|0
Okay.|You're boring.|0
That doesn't make sense.|Sure it does.|0
I'm sure it doesn't.|I am certain it is.|0
Neither do I.|That's not a real sentence.|0
I said neither do I.|Stop it.|0
I am certain it is.|Stop it!|0
Okay.|Thank you.|0
I'm sure it doesn't.|Haha we're done here.|0
Stop that!|No.|0
You're boring.|I know.|0
Okay, that was just an unlucky streak then.|Bye|0
Hello, let's chat!|Alright|0
Sure it does.|No it doesn't.|0
No it doesn't.|I'm glad we agree.|0
Sure it does.|No it doesn't.|0
I'm not.|You're not what?|2
I'm sure it was.|You're confusing me.|0
Thank you.|It's not a compliment.|0
Okay.|Tell me about your family.|0
Stop that!|Stop what?|2
I'm not.|I'm going to leave.|0
Wow.|Bye|0
Hello, let's chat!|Okay.|0
It's not that interesting.|What isn't?|2
Bye|Bye|0
Hello, let's chat!|Bye|0
Hello, let's chat!|I like to chat.|0
That's not a real sentence.|Yes it is.|0
Okay.|Bye|0
Hello, let's chat!|Sure thing!|0
Bye|Bye|0
Hello, let's chat!|Tell me about your parents.|0
You're confusing me.|Do you have any siblings?|2
Okay.|How old are you?|2
Tell me about your family.|What's your name?|2
No.|Why are you here?|2
That doesn't make sense.|Who am I?|2
bye|Where are you from?|2
You're confusing me.|Are you a robot?|2
That doesn't make sense.|I am not a robot.|0
What's your name?|I'm Steve.|0
Stop repeating that.|This conversation intrigues me.|0
Bye|Bye|0
